"disp:0","disp:1","disp:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0089134,0.079428,0,1,0.555,-1.445,0,0
-0.0089636,0.080143,0,1,0.558,-1.442,0,0
-0.0090139,0.080858,0,1,0.561,-1.439,0,0
-0.0090639,0.081594,0,1,0.564,-1.436,0,0
-0.0091136,0.08235,0,1,0.567,-1.433,0,0
-0.0091633,0.083105,0,1,0.57,-1.43,0,0
-0.009213,0.083861,0,1,0.573,-1.427,0,0
-0.0092627,0.084617,0,1,0.576,-1.424,0,0
-0.0093124,0.085373,0,1,0.579,-1.421,0,0
-0.0093622,0.086129,0,1,0.582,-1.418,0,0
-0.0094119,0.086885,0,1,0.585,-1.415,0,0
-0.0094616,0.087641,0,1,0.588,-1.412,0,0
-0.0095113,0.088397,0,1,0.591,-1.409,0,0
-0.009561,0.089152,0,1,0.594,-1.406,0,0
-0.0096107,0.089908,0,1,0.597,-1.403,0,0
-0.0096604,0.090664,0,1,0.6,-1.4,0,0
-0.0097102,0.09142,0,1,0.603,-1.397,0,0
-0.0097599,0.092176,0,1,0.606,-1.394,0,0
-0.0098096,0.092932,0,1,0.609,-1.391,0,0
-0.0098584,0.09372,0,1,0.612,-1.388,0,0
-0.009907,0.094512,0,1,0.615,-1.385,0,0
-0.0099557,0.095305,0,1,0.618,-1.382,0,0
-0.010004,0.096097,0,1,0.621,-1.379,0,0
-0.010053,0.09689,0,1,0.624,-1.376,0,0
-0.010102,0.097683,0,1,0.627,-1.373,0,0
-0.01015,0.098475,0,1,0.63,-1.37,0,0
-0.010199,0.099268,0,1,0.633,-1.367,0,0
-0.010248,0.10006,0,1,0.636,-1.364,0,0
-0.010296,0.10085,0,1,0.639,-1.361,0,0
-0.010345,0.10165,0,1,0.642,-1.358,0,0
-0.010393,0.10244,0,1,0.645,-1.355,0,0
-0.010442,0.10323,0,1,0.648,-1.352,0,0
-0.010491,0.10402,0,1,0.651,-1.349,0,0
-0.010539,0.10482,0,1,0.654,-1.346,0,0
-0.010588,0.10562,0,1,0.657,-1.343,0,0
-0.010635,0.10645,0,1,0.66,-1.34,0,0
-0.010683,0.10728,0,1,0.663,-1.337,0,0
-0.01073,0.1081,0,1,0.666,-1.334,0,0
-0.010778,0.10893,0,1,0.669,-1.331,0,0
-0.010826,0.10976,0,1,0.672,-1.328,0,0
-0.010873,0.11059,0,1,0.675,-1.325,0,0
-0.010921,0.11142,0,1,0.678,-1.322,0,0
-0.010968,0.11225,0,1,0.681,-1.319,0,0
-0.011016,0.11308,0,1,0.684,-1.316,0,0
-0.011063,0.11391,0,1,0.687,-1.313,0,0
-0.011111,0.11474,0,1,0.69,-1.31,0,0
-0.011159,0.11557,0,1,0.693,-1.307,0,0
-0.011206,0.1164,0,1,0.696,-1.304,0,0
-0.011254,0.11723,0,1,0.699,-1.301,0,0
-0.011301,0.11806,0,1,0.702,-1.298,0,0
-0.011348,0.11891,0,1,0.705,-1.295,0,0
-0.011395,0.11977,0,1,0.708,-1.292,0,0
-0.011441,0.12064,0,1,0.711,-1.289,0,0
-0.011488,0.1215,0,1,0.714,-1.286,0,0
-0.011534,0.12237,0,1,0.717,-1.283,0,0
-0.011581,0.12324,0,1,0.72,-1.28,0,0
-0.011627,0.1241,0,1,0.723,-1.277,0,0
-0.011674,0.12497,0,1,0.726,-1.274,0,0
-0.01172,0.12583,0,1,0.729,-1.271,0,0
-0.011767,0.1267,0,1,0.732,-1.268,0,0
-0.011813,0.12757,0,1,0.735,-1.265,0,0
-0.01186,0.12843,0,1,0.738,-1.262,0,0
-0.011906,0.1293,0,1,0.741,-1.259,0,0
-0.011953,0.13016,0,1,0.744,-1.256,0,0
-0.011999,0.13103,0,1,0.747,-1.253,0,0
-0.012046,0.1319,0,1,0.75,-1.25,0,0
-0.012092,0.1328,0,1,0.753,-1.247,0,0
-0.012139,0.1337,0,1,0.756,-1.244,0,0
-0.012185,0.13461,0,1,0.759,-1.241,0,0
-0.012232,0.13551,0,1,0.762,-1.238,0,0
-0.012278,0.13642,0,1,0.765,-1.235,0,0
-0.012325,0.13732,0,1,0.768,-1.232,0,0
-0.012372,0.13822,0,1,0.771,-1.229,0,0
-0.012418,0.13913,0,1,0.774,-1.226,0,0
-0.012465,0.14003,0,1,0.777,-1.223,0,0
-0.012511,0.14094,0,1,0.78,-1.22,0,0
-0.012558,0.14184,0,1,0.783,-1.217,0,0
-0.012604,0.14274,0,1,0.786,-1.214,0,0
-0.012651,0.14365,0,1,0.789,-1.211,0,0
-0.012698,0.14455,0,1,0.792,-1.208,0,0
-0.012744,0.14546,0,1,0.795,-1.205,0,0
-0.012791,0.14637,0,1,0.798,-1.202,0,0
-0.012839,0.14732,0,1,0.801,-1.199,0,0
-0.012887,0.14826,0,1,0.804,-1.196,0,0
-0.012935,0.14921,0,1,0.807,-1.193,0,0
-0.012982,0.15015,0,1,0.81,-1.19,0,0
-0.01303,0.15109,0,1,0.813,-1.187,0,0
-0.013078,0.15204,0,1,0.816,-1.184,0,0
-0.013126,0.15298,0,1,0.819,-1.181,0,0
-0.013173,0.15393,0,1,0.822,-1.178,0,0
-0.013221,0.15487,0,1,0.825,-1.175,0,0
-0.013269,0.15581,0,1,0.828,-1.172,0,0
-0.013317,0.15676,0,1,0.831,-1.169,0,0
-0.013365,0.1577,0,1,0.834,-1.166,0,0
-0.013412,0.15864,0,1,0.837,-1.163,0,0
-0.01346,0.15959,0,1,0.84,-1.16,0,0
-0.013508,0.16053,0,1,0.843,-1.157,0,0
-0.013557,0.16151,0,1,0.846,-1.154,0,0
-0.013606,0.16249,0,1,0.849,-1.151,0,0
-0.013655,0.16347,0,1,0.852,-1.148,0,0
-0.013704,0.16446,0,1,0.855,-1.145,0,0
-0.013752,0.16544,0,1,0.858,-1.142,0,0
-0.013801,0.16642,0,1,0.861,-1.139,0,0
-0.01385,0.16741,0,1,0.864,-1.136,0,0
-0.013899,0.16839,0,1,0.867,-1.133,0,0
-0.013948,0.16937,0,1,0.87,-1.13,0,0
-0.013997,0.17036,0,1,0.873,-1.127,0,0
-0.014046,0.17134,0,1,0.876,-1.124,0,0
-0.014095,0.17232,0,1,0.879,-1.121,0,0
-0.014144,0.17331,0,1,0.882,-1.118,0,0
-0.014193,0.17429,0,1,0.885,-1.115,0,0
-0.014242,0.17527,0,1,0.888,-1.112,0,0
-0.014292,0.17626,0,1,0.891,-1.109,0,0
-0.014342,0.17729,0,1,0.894,-1.106,0,0
-0.014392,0.17831,0,1,0.897,-1.103,0,0
-0.014442,0.17933,0,1,0.9,-1.1,0,0
-0.014492,0.18036,0,1,0.903,-1.097,0,0
-0.014543,0.18138,0,1,0.906,-1.094,0,0
-0.014593,0.1824,0,1,0.909,-1.091,0,0
-0.014643,0.18343,0,1,0.912,-1.088,0,0
-0.014693,0.18445,0,1,0.915,-1.085,0,0
-0.014743,0.18547,0,1,0.918,-1.082,0,0
-0.014794,0.1865,0,1,0.921,-1.079,0,0
-0.014844,0.18752,0,1,0.924,-1.076,0,0
-0.014894,0.18854,0,1,0.927,-1.073,0,0
-0.014944,0.18957,0,1,0.93,-1.07,0,0
-0.014994,0.19059,0,1,0.933,-1.067,0,0
-0.015045,0.19161,0,1,0.936,-1.064,0,0
-0.015094,0.19265,0,1,0.939,-1.061,0,0
-0.015144,0.19371,0,1,0.942,-1.058,0,0
-0.015193,0.19476,0,1,0.945,-1.055,0,0
-0.015243,0.19582,0,1,0.948,-1.052,0,0
-0.015292,0.19687,0,1,0.951,-1.049,0,0
-0.015342,0.19793,0,1,0.954,-1.046,0,0
-0.015392,0.19899,0,1,0.957,-1.043,0,0
-0.015441,0.20004,0,1,0.96,-1.04,0,0
-0.015491,0.2011,0,1,0.963,-1.037,0,0
-0.01554,0.20215,0,1,0.966,-1.034,0,0
-0.01559,0.20321,0,1,0.969,-1.031,0,0
-0.015639,0.20426,0,1,0.972,-1.028,0,0
-0.015689,0.20532,0,1,0.975,-1.025,0,0
-0.015738,0.20637,0,1,0.978,-1.022,0,0
-0.015788,0.20743,0,1,0.981,-1.019,0,0
-0.015837,0.20849,0,1,0.984,-1.016,0,0
-0.015885,0.20956,0,1,0.987,-1.013,0,0
