"disp:0","disp:1","disp:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.019321,-1.2478e-16,0,1,0.6,-1.4,0,0
-0.01942,-1.2563e-16,0,1,0.603,-1.397,0,0
-0.01952,-1.2649e-16,0,1,0.606,-1.394,0,0
-0.019619,-1.2735e-16,0,1,0.609,-1.391,0,0
-0.019717,-1.286e-16,0,1,0.612,-1.388,0,0
-0.019814,-1.2991e-16,0,1,0.615,-1.385,0,0
-0.019911,-1.3121e-16,0,1,0.618,-1.382,0,0
-0.020009,-1.3251e-16,0,1,0.621,-1.379,0,0
-0.020106,-1.3381e-16,0,1,0.624,-1.376,0,0
-0.020203,-1.3512e-16,0,1,0.627,-1.373,0,0
-0.0203,-1.3642e-16,0,1,0.63,-1.37,0,0
-0.020398,-1.3772e-16,0,1,0.633,-1.367,0,0
-0.020495,-1.3903e-16,0,1,0.636,-1.364,0,0
-0.020592,-1.4033e-16,0,1,0.639,-1.361,0,0
-0.02069,-1.4163e-16,0,1,0.642,-1.358,0,0
-0.020787,-1.4294e-16,0,1,0.645,-1.355,0,0
-0.020884,-1.4424e-16,0,1,0.648,-1.352,0,0
-0.020981,-1.4554e-16,0,1,0.651,-1.349,0,0
-0.021079,-1.4685e-16,0,1,0.654,-1.346,0,0
-0.021175,-1.4826e-16,0,1,0.657,-1.343,0,0
-0.021271,-1.5001e-16,0,1,0.66,-1.34,0,0
-0.021366,-1.5175e-16,0,1,0.663,-1.337,0,0
-0.021461,-1.535e-16,0,1,0.666,-1.334,0,0
-0.021556,-1.5524e-16,0,1,0.669,-1.331,0,0
-0.021651,-1.5699e-16,0,1,0.672,-1.328,0,0
-0.021746,-1.5873e-16,0,1,0.675,-1.325,0,0
-0.021841,-1.6048e-16,0,1,0.678,-1.322,0,0
-0.021937,-1.6222e-16,0,1,0.681,-1.319,0,0
-0.022032,-1.6397e-16,0,1,0.684,-1.316,0,0
-0.022127,-1.6572e-16,0,1,0.687,-1.313,0,0
-0.022222,-1.6746e-16,0,1,0.69,-1.31,0,0
-0.022317,-1.6921e-16,0,1,0.693,-1.307,0,0
-0.022412,-1.7095e-16,0,1,0.696,-1.304,0,0
-0.022507,-1.727e-16,0,1,0.699,-1.301,0,0
-0.022603,-1.7444e-16,0,1,0.702,-1.298,0,0
-0.022696,-1.7646e-16,0,1,0.705,-1.295,0,0
-0.022789,-1.7865e-16,0,1,0.708,-1.292,0,0
-0.022882,-1.8084e-16,0,1,0.711,-1.289,0,0
-0.022975,-1.8302e-16,0,1,0.714,-1.286,0,0
-0.023068,-1.8521e-16,0,1,0.717,-1.283,0,0
-0.023161,-1.874e-16,0,1,0.72,-1.28,0,0
-0.023254,-1.8958e-16,0,1,0.723,-1.277,0,0
-0.023347,-1.9177e-16,0,1,0.726,-1.274,0,0
-0.02344,-1.9396e-16,0,1,0.729,-1.271,0,0
-0.023533,-1.9614e-16,0,1,0.732,-1.268,0,0
-0.023626,-1.9833e-16,0,1,0.735,-1.265,0,0
-0.023719,-2.0052e-16,0,1,0.738,-1.262,0,0
-0.023812,-2.027e-16,0,1,0.741,-1.259,0,0
-0.023905,-2.0489e-16,0,1,0.744,-1.256,0,0
-0.023998,-2.0708e-16,0,1,0.747,-1.253,0,0
-0.024091,-2.0926e-16,0,1,0.75,-1.25,0,0
-0.024184,-2.1159e-16,0,1,0.753,-1.247,0,0
-0.024278,-2.1391e-16,0,1,0.756,-1.244,0,0
-0.024371,-2.1623e-16,0,1,0.759,-1.241,0,0
-0.024464,-2.1855e-16,0,1,0.762,-1.238,0,0
-0.024557,-2.2087e-16,0,1,0.765,-1.235,0,0
-0.02465,-2.2319e-16,0,1,0.768,-1.232,0,0
-0.024743,-2.2551e-16,0,1,0.771,-1.229,0,0
-0.024836,-2.2783e-16,0,1,0.774,-1.226,0,0
-0.024929,-2.3015e-16,0,1,0.777,-1.223,0,0
-0.025023,-2.3248e-16,0,1,0.78,-1.22,0,0
-0.025116,-2.348e-16,0,1,0.783,-1.217,0,0
-0.025209,-2.3712e-16,0,1,0.786,-1.214,0,0
-0.025302,-2.3944e-16,0,1,0.789,-1.211,0,0
-0.025395,-2.4176e-16,0,1,0.792,-1.208,0,0
-0.025488,-2.4408e-16,0,1,0.795,-1.205,0,0
-0.025582,-2.4634e-16,0,1,0.798,-1.202,0,0
-0.025678,-2.4849e-16,0,1,0.801,-1.199,0,0
-0.025773,-2.5064e-16,0,1,0.804,-1.196,0,0
-0.025869,-2.5279e-16,0,1,0.807,-1.193,0,0
-0.025965,-2.5494e-16,0,1,0.81,-1.19,0,0
-0.02606,-2.5709e-16,0,1,0.813,-1.187,0,0
-0.026156,-2.5924e-16,0,1,0.816,-1.184,0,0
-0.026251,-2.6139e-16,0,1,0.819,-1.181,0,0
-0.026347,-2.6354e-16,0,1,0.822,-1.178,0,0
-0.026442,-2.6569e-16,0,1,0.825,-1.175,0,0
-0.026538,-2.6784e-16,0,1,0.828,-1.172,0,0
-0.026633,-2.6999e-16,0,1,0.831,-1.169,0,0
-0.026729,-2.7214e-16,0,1,0.834,-1.166,0,0
-0.026825,-2.7429e-16,0,1,0.837,-1.163,0,0
-0.02692,-2.7644e-16,0,1,0.84,-1.16,0,0
-0.027016,-2.7859e-16,0,1,0.843,-1.157,0,0
-0.027113,-2.8061e-16,0,1,0.846,-1.154,0,0
-0.027211,-2.8259e-16,0,1,0.849,-1.151,0,0
-0.027309,-2.8457e-16,0,1,0.852,-1.148,0,0
-0.027407,-2.8655e-16,0,1,0.855,-1.145,0,0
-0.027505,-2.8853e-16,0,1,0.858,-1.142,0,0
-0.027603,-2.905e-16,0,1,0.861,-1.139,0,0
-0.027701,-2.9248e-16,0,1,0.864,-1.136,0,0
-0.027799,-2.9446e-16,0,1,0.867,-1.133,0,0
-0.027897,-2.9644e-16,0,1,0.87,-1.13,0,0
-0.027995,-2.9842e-16,0,1,0.873,-1.127,0,0
-0.028093,-3.004e-16,0,1,0.876,-1.124,0,0
-0.028191,-3.0237e-16,0,1,0.879,-1.121,0,0
-0.028289,-3.0435e-16,0,1,0.882,-1.118,0,0
-0.028387,-3.0633e-16,0,1,0.885,-1.115,0,0
-0.028485,-3.0831e-16,0,1,0.888,-1.112,0,0
-0.028583,-3.1027e-16,0,1,0.891,-1.109,0,0
-0.028683,-3.1207e-16,0,1,0.894,-1.106,0,0
-0.028784,-3.1387e-16,0,1,0.897,-1.103,0,0
-0.028884,-3.1568e-16,0,1,0.9,-1.1,0,0
-0.028985,-3.1748e-16,0,1,0.903,-1.097,0,0
-0.029085,-3.1929e-16,0,1,0.906,-1.094,0,0
-0.029185,-3.2109e-16,0,1,0.909,-1.091,0,0
-0.029286,-3.229e-16,0,1,0.912,-1.088,0,0
-0.029386,-3.247e-16,0,1,0.915,-1.085,0,0
-0.029487,-3.265e-16,0,1,0.918,-1.082,0,0
-0.029587,-3.2831e-16,0,1,0.921,-1.079,0,0
-0.029687,-3.3011e-16,0,1,0.924,-1.076,0,0
-0.029788,-3.3192e-16,0,1,0.927,-1.073,0,0
-0.029888,-3.3372e-16,0,1,0.93,-1.07,0,0
-0.029989,-3.3552e-16,0,1,0.933,-1.067,0,0
-0.030089,-3.3733e-16,0,1,0.936,-1.064,0,0
-0.030189,-3.3901e-16,0,1,0.939,-1.061,0,0
-0.030288,-3.4057e-16,0,1,0.942,-1.058,0,0
-0.030387,-3.4213e-16,0,1,0.945,-1.055,0,0
-0.030486,-3.4369e-16,0,1,0.948,-1.052,0,0
-0.030585,-3.4525e-16,0,1,0.951,-1.049,0,0
-0.030684,-3.4681e-16,0,1,0.954,-1.046,0,0
-0.030783,-3.4837e-16,0,1,0.957,-1.043,0,0
-0.030882,-3.4993e-16,0,1,0.96,-1.04,0,0
-0.030981,-3.5149e-16,0,1,0.963,-1.037,0,0
-0.03108,-3.5305e-16,0,1,0.966,-1.034,0,0
-0.031179,-3.5461e-16,0,1,0.969,-1.031,0,0
-0.031278,-3.5616e-16,0,1,0.972,-1.028,0,0
-0.031377,-3.5772e-16,0,1,0.975,-1.025,0,0
-0.031476,-3.5928e-16,0,1,0.978,-1.022,0,0
-0.031575,-3.6084e-16,0,1,0.981,-1.019,0,0
-0.031674,-3.624e-16,0,1,0.984,-1.016,0,0
-0.031769,-3.6369e-16,0,1,0.987,-1.013,0,0
-0.031863,-3.6494e-16,0,1,0.99,-1.01,0,0
-0.031957,-3.6619e-16,0,1,0.993,-1.007,0,0
-0.032051,-3.6744e-16,0,1,0.996,-1.004,0,0
-0.032145,-3.6869e-16,0,1,0.999,-1.001,0,0
-0.032239,-3.6993e-16,0,1,1.002,-0.998,0,0
-0.032332,-3.7118e-16,0,1,1.005,-0.995,0,0
-0.032426,-3.7243e-16,0,1,1.008,-0.992,0,0
-0.03252,-3.7368e-16,0,1,1.011,-0.989,0,0
-0.032614,-3.7493e-16,0,1,1.014,-0.986,0,0
-0.032708,-3.7618e-16,0,1,1.017,-0.983,0,0
-0.032802,-3.7743e-16,0,1,1.02,-0.98,0,0
-0.032896,-3.7868e-16,0,1,1.023,-0.977,0,0
-0.03299,-3.7992e-16,0,1,1.026,-0.974,0,0
-0.033084,-3.8117e-16,0,1,1.029,-0.971,0,0
-0.033176,-3.8234e-16,0,1,1.032,-0.968,0,0
-0.033265,-3.8327e-16,0,1,1.035,-0.965,0,0
-0.033354,-3.842e-16,0,1,1.038,-0.962,0,0
-0.033443,-3.8513e-16,0,1,1.041,-0.959,0,0
-0.033531,-3.8606e-16,0,1,1.044,-0.956,0,0
-0.03362,-3.8698e-16,0,1,1.047,-0.953,0,0
-0.033709,-3.8791e-16,0,1,1.05,-0.95,0,0
-0.033798,-3.8884e-16,0,1,1.053,-0.947,0,0
-0.033887,-3.8977e-16,0,1,1.056,-0.944,0,0
-0.033975,-3.907e-16,0,1,1.059,-0.941,0,0
-0.034064,-3.9163e-16,0,1,1.062,-0.938,0,0
-0.034153,-3.9256e-16,0,1,1.065,-0.935,0,0
-0.034242,-3.9348e-16,0,1,1.068,-0.932,0,0
-0.03433,-3.9441e-16,0,1,1.071,-0.929,0,0
-0.034419,-3.9534e-16,0,1,1.074,-0.926,0,0
-0.034508,-3.9627e-16,0,1,1.077,-0.923,0,0
-0.034594,-3.97e-16,0,1,1.08,-0.92,0,0
-0.034677,-3.9762e-16,0,1,1.083,-0.917,0,0
-0.034761,-3.9824e-16,0,1,1.086,-0.914,0,0
-0.034845,-3.9885e-16,0,1,1.089,-0.911,0,0
-0.034928,-3.9947e-16,0,1,1.092,-0.908,0,0
-0.035012,-4.0009e-16,0,1,1.095,-0.905,0,0
-0.035095,-4.007e-16,0,1,1.098,-0.902,0,0
-0.035179,-4.0132e-16,0,1,1.101,-0.899,0,0
-0.035263,-4.0194e-16,0,1,1.104,-0.896,0,0
-0.035346,-4.0256e-16,0,1,1.107,-0.893,0,0
-0.03543,-4.0317e-16,0,1,1.11,-0.89,0,0
-0.035514,-4.0379e-16,0,1,1.113,-0.887,0,0
-0.035597,-4.0441e-16,0,1,1.116,-0.884,0,0
-0.035681,-4.0502e-16,0,1,1.119,-0.881,0,0
-0.035765,-4.0564e-16,0,1,1.122,-0.878,0,0
-0.035848,-4.0626e-16,0,1,1.125,-0.875,0,0
-0.035929,-4.0687e-16,0,1,1.128,-0.872,0,0
-0.03601,-4.0749e-16,0,1,1.131,-0.869,0,0
-0.036091,-4.081e-16,0,1,1.134,-0.866,0,0
-0.036171,-4.0872e-16,0,1,1.137,-0.863,0,0
-0.036252,-4.0933e-16,0,1,1.14,-0.86,0,0
-0.036333,-4.0995e-16,0,1,1.143,-0.857,0,0
-0.036414,-4.1056e-16,0,1,1.146,-0.854,0,0
-0.036495,-4.1118e-16,0,1,1.149,-0.851,0,0
-0.036575,-4.1179e-16,0,1,1.152,-0.848,0,0
-0.036656,-4.1241e-16,0,1,1.155,-0.845,0,0
-0.036737,-4.1302e-16,0,1,1.158,-0.842,0,0
-0.036818,-4.1364e-16,0,1,1.161,-0.839,0,0
-0.036899,-4.1425e-16,0,1,1.164,-0.836,0,0
-0.036979,-4.1487e-16,0,1,1.167,-0.833,0,0
-0.03706,-4.1548e-16,0,1,1.17,-0.83,0,0
-0.037141,-4.1621e-16,0,1,1.173,-0.827,0,0
-0.037221,-4.1713e-16,0,1,1.176,-0.824,0,0
-0.037301,-4.1806e-16,0,1,1.179,-0.821,0,0
-0.037382,-4.1898e-16,0,1,1.182,-0.818,0,0
-0.037462,-4.199e-16,0,1,1.185,-0.815,0,0
-0.037542,-4.2082e-16,0,1,1.188,-0.812,0,0
-0.037623,-4.2174e-16,0,1,1.191,-0.809,0,0
-0.037703,-4.2267e-16,0,1,1.194,-0.806,0,0
-0.037783,-4.2359e-16,0,1,1.197,-0.803,0,0
-0.037863,-4.2451e-16,0,1,1.2,-0.8,0,0
-0.037944,-4.2543e-16,0,1,1.203,-0.797,0,0
-0.038024,-4.2636e-16,0,1,1.206,-0.794,0,0
-0.038104,-4.2728e-16,0,1,1.209,-0.791,0,0
-0.038184,-4.282e-16,0,1,1.212,-0.788,0,0
-0.038265,-4.2912e-16,0,1,1.215,-0.785,0,0
-0.038345,-4.3004e-16,0,1,1.218,-0.782,0,0
